"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2025","41.77","41.39","42.29","41.35","","0.10%"
"04/29/2025","41.73","42.27","42.45","41.64","","-1.02%"
"04/28/2025","42.16","42.80","42.95","42.14","","-1.17%"
"04/25/2025","42.66","42.82","42.93","42.51","","-0.91%"
"04/24/2025","43.05","43.44","43.48","43.03","","-1.87%"
"04/23/2025","43.87","42.92","43.99","42.61","","-0.05%"
"04/22/2025","43.89","44.07","44.07","43.71","","-0.36%"
"04/21/2025","44.05","43.97","44.07","43.33","","1.66%"
"04/17/2025","43.33","42.92","43.44","42.78","","1.26%"
"04/16/2025","42.79","43.16","43.52","42.75","","-1.02%"
"04/15/2025","43.23","43.80","43.99","43.08","","-0.94%"
"04/14/2025","43.64","44.38","44.58","43.60","","2.78%"
"03/31/2025","42.46","42.03","42.59","41.92","","-2.82%"
"03/27/2025","43.69","43.85","43.87","43.56","","0.71%"
"03/26/2025","43.38","43.48","43.62","43.27","","0.72%"
"03/25/2025","43.07","43.62","43.64","42.98","","-0.55%"
"03/24/2025","43.31","43.02","43.39","42.88","","1.86%"
"03/21/2025","42.52","42.10","42.56","42.00","","0.45%"
"03/20/2025","42.33","41.91","42.46","41.74","","-0.54%"
"03/19/2025","42.56","42.93","43.23","42.52","","-1.16%"
"03/17/2025","43.06","42.79","43.31","42.58","","-0.05%"
"03/14/2025","43.08","43.16","43.24","42.91","","-0.23%"
"03/12/2025","43.18","43.09","43.32","42.51","","0.70%"
"03/11/2025","42.88","42.38","42.95","41.88","","1.78%"
"03/10/2025","42.13","42.32","42.51","41.98","","-2.41%"
"03/07/2025","43.17","42.51","43.28","42.11","","0.72%"
"03/06/2025","42.86","42.77","43.44","42.67","","0.49%"
"03/05/2025","42.65","42.31","42.84","41.85","","1.31%"
"03/04/2025","42.10","41.34","42.18","41.06","","0.72%"
"03/03/2025","41.80","42.54","42.56","41.70","","-1.21%"
"02/28/2025","42.31","42.56","42.77","42.14","","-1.26%"
"02/27/2025","42.85","42.85","43.08","42.68","","0.85%"
"02/26/2025","42.49","42.91","43.14","42.47","","-1.14%"
"02/25/2025","42.98","43.29","43.35","42.83","","-2.16%"
"02/24/2025","43.93","44.37","44.51","43.89","","-0.61%"
